account length,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,customer service calls,churn_True,international plan_yes,voice mail plan_yes
41,0,202,97,153,104,113,92,9,3,3,0,0,0
112,0,261,108,154,102,130,90,11,2,1,0,0,0
88,0,73,86,161,82,239,76,8,3,4,1,0,0
61,0,45,108,151,74,152,94,9,6,2,0,0,0
87,0,231,105,171,108,67,136,13,6,1,0,0,0
176,0,47,125,167,90,163,107,10,8,2,0,0,0
30,0,227,88,182,100,191,134,12,3,0,0,0,0
95,22,40,126,133,90,264,91,11,7,0,0,0,1
46,0,124,133,157,143,199,72,8,4,2,0,0,0
100,0,68,110,337,115,205,99,12,9,0,0,1,0
47,37,163,77,203,102,232,87,7,4,2,0,0,1
77,0,163,112,219,89,233,66,6,3,2,0,0,0
98,38,213,61,253,104,207,73,10,5,2,0,0,1
67,0,310,97,66,123,246,99,9,10,4,0,0,0
194,0,48,101,281,138,218,87,18,1,1,0,0,0
128,40,171,88,145,109,196,93,14,6,1,0,0,1
190,22,166,93,183,92,121,102,8,3,0,0,0,1
165,0,216,126,190,104,224,123,12,8,0,0,0,0
59,0,107,113,216,125,217,92,9,3,2,0,0,0
47,28,141,94,168,108,113,84,7,2,1,0,0,1
150,29,209,77,158,52,141,113,6,1,0,0,0,1
26,0,234,109,216,129,191,94,3,6,3,0,0,0
79,31,103,90,243,135,76,92,12,8,3,0,0,1
95,27,129,106,248,90,268,115,11,3,1,0,0,1
69,0,279,90,248,91,171,118,8,10,2,1,1,0
95,41,136,91,200,61,133,67,10,9,5,1,1,1
31,31,100,54,246,97,255,131,5,3,0,0,0,1
121,31,237,63,205,117,196,85,10,5,4,0,0,1
111,0,172,58,183,108,158,104,7,3,4,1,0,0
157,0,224,111,200,99,116,118,11,2,2,0,0,0
44,0,288,112,258,92,192,90,10,4,3,1,0,0
61,0,78,103,195,149,108,100,10,6,2,0,1,0
65,0,148,80,259,94,149,107,12,6,2,0,0,0
74,25,194,84,119,103,175,75,13,2,2,0,0,1
123,0,159,77,303,92,226,120,12,4,0,0,0,0
58,20,194,110,213,89,236,92,9,2,1,0,0,1
74,0,174,96,251,94,257,123,8,5,2,1,0,0
125,0,131,97,136,100,308,119,7,6,2,0,0,0
80,0,160,103,237,109,245,88,10,1,1,0,0,0
53,18,146,107,310,84,178,130,7,7,0,0,0,1
99,28,200,88,264,116,172,102,9,5,1,0,0,1
99,0,145,106,98,106,230,83,10,5,1,0,0,0
66,29,229,104,257,84,231,119,8,1,2,0,0,1
97,0,211,76,189,100,123,102,4,4,3,0,0,0
75,37,121,97,271,110,248,97,11,5,2,0,0,1
85,0,216,73,188,117,147,98,3,7,2,0,1,0
108,0,293,88,160,101,143,87,10,6,2,0,0,0
133,32,221,137,264,99,168,108,15,4,2,1,1,1
51,0,181,108,196,87,187,119,10,2,1,0,0,0
186,26,74,107,177,116,296,90,14,3,2,0,0,1
44,0,62,92,275,82,138,108,10,3,1,0,1,0
64,31,228,88,248,109,167,124,9,1,3,0,0,1
44,0,228,121,276,79,279,77,9,5,2,1,0,0
114,36,309,90,200,89,183,105,14,2,1,0,0,1
92,0,201,74,226,119,217,80,13,6,3,0,0,0
110,0,149,112,180,93,140,119,11,4,2,0,0,0
90,30,183,76,229,95,144,124,7,3,1,0,0,1
72,21,186,108,335,86,187,119,16,4,1,0,0,1
113,0,209,151,347,113,246,116,7,2,1,1,0,0
171,25,223,77,183,118,150,90,10,3,3,0,0,1
104,0,164,109,155,90,168,117,10,8,1,0,0,0
165,0,150,75,193,93,311,93,10,2,1,0,0,0
104,0,234,128,293,92,183,79,9,6,0,1,0,0
110,0,55,102,164,124,200,108,10,5,1,0,0,0
90,0,221,97,203,134,215,154,8,4,1,0,1,0
114,0,169,85,58,86,179,124,7,8,1,0,0,0
101,0,89,118,260,79,170,93,13,11,5,1,0,0
117,14,80,81,219,103,122,102,8,2,1,0,0,1
109,0,218,105,299,87,158,110,11,4,2,0,0,0
82,0,125,96,207,137,183,103,12,2,1,0,0,0
92,0,176,85,93,125,207,107,9,1,2,0,0,0
82,29,207,111,254,137,169,92,9,5,2,0,0,1
90,0,205,138,161,83,269,104,12,6,2,0,0,0
124,0,157,70,130,79,193,98,9,4,3,0,0,0
39,0,160,68,102,103,235,106,9,5,2,0,0,0
84,0,159,80,167,128,167,101,12,5,1,0,0,0
75,46,214,62,200,111,246,126,9,6,0,0,0,1
102,0,102,89,246,77,170,140,9,4,2,0,0,0
62,0,159,86,197,76,121,105,13,6,0,1,1,0
143,0,202,109,165,104,143,71,4,4,1,0,0,0
53,0,57,95,265,131,244,128,11,6,3,0,0,0
30,0,169,144,225,118,169,93,11,7,1,0,0,0
112,0,335,77,212,109,265,132,12,8,2,1,0,0
129,0,139,119,289,105,129,97,13,8,0,0,0,0
63,29,142,107,118,56,240,91,6,8,1,0,0,1
28,0,187,94,248,86,208,124,10,5,0,0,0,0
111,0,146,55,261,83,163,116,8,3,3,0,0,0
91,0,231,120,150,106,269,129,11,7,3,0,0,0
90,0,193,83,154,79,299,60,12,3,1,0,0,0
151,0,156,108,233,118,195,141,7,6,4,0,0,0
105,29,220,82,217,110,190,100,13,6,1,1,1,1
41,37,239,110,221,115,189,100,7,1,2,0,0,1
48,43,172,111,200,64,233,96,8,5,1,0,0,1
166,35,128,138,274,113,298,130,8,7,2,0,1,1
79,0,130,119,290,121,194,140,14,6,3,0,0,0
153,0,195,107,154,96,142,97,11,6,1,0,0,0
110,0,293,79,188,90,266,91,14,4,0,1,1,0
163,0,191,89,193,87,268,121,12,4,1,0,0,0
126,0,122,88,143,111,157,106,11,3,1,0,0,0
105,33,209,68,146,140,121,131,10,3,2,0,0,1
172,0,215,140,146,84,264,83,7,1,3,0,0,0
126,0,161,110,220,125,249,78,5,2,0,0,0,0
97,0,144,91,226,137,144,72,13,4,3,0,0,0
95,37,220,109,185,99,205,82,4,2,0,1,1,1
87,0,256,105,160,102,249,80,7,2,4,0,0,0
97,0,112,119,217,109,152,76,6,5,1,0,0,0
76,0,299,125,226,92,210,134,13,4,0,1,0,0
140,0,194,107,170,99,225,93,13,4,0,0,0,0
169,0,100,112,230,69,193,95,9,2,0,0,0,0
68,22,82,97,289,94,180,114,4,4,3,0,0,1
122,34,146,104,89,103,220,91,15,4,2,0,0,1
36,0,177,129,224,87,306,102,10,6,2,0,0,0
120,27,153,84,194,73,256,94,10,7,5,0,0,1
64,19,180,106,127,92,237,118,7,3,0,0,0,1
13,31,265,94,147,95,259,117,12,1,1,0,0,1
106,0,128,83,134,114,210,113,11,2,0,0,0,0
88,0,161,92,173,108,206,95,7,4,2,0,0,0
74,0,165,120,198,106,208,102,9,3,1,0,0,0
49,0,213,79,265,93,239,128,15,7,0,0,0,0
111,24,205,114,219,99,215,95,14,4,1,0,0,1
50,22,252,112,177,99,158,146,8,4,3,0,0,1
88,0,192,91,127,127,155,125,7,5,1,0,0,0
131,39,69,122,101,136,104,94,9,4,0,0,0,1
79,0,261,97,210,48,256,83,6,3,3,1,0,0
140,0,235,81,257,130,103,111,11,4,2,0,0,0
105,0,213,100,204,52,179,93,9,6,1,0,0,0
54,39,206,143,127,72,199,120,9,1,3,0,0,1
87,22,263,65,103,115,208,109,8,3,3,0,0,1
96,31,183,126,195,106,180,93,10,5,1,0,0,1
79,0,157,85,194,92,231,86,9,10,5,1,0,0
55,0,175,147,161,118,289,55,9,4,0,0,0,0
130,0,242,101,102,114,142,89,9,2,2,0,0,0
34,0,151,102,131,101,186,86,9,7,0,0,0,0
139,0,138,103,164,100,134,63,8,2,1,0,0,0
109,0,264,69,305,120,197,86,9,9,1,1,0,0
65,31,282,70,152,89,225,93,12,4,1,0,0,1
63,0,211,80,237,93,259,58,12,2,0,0,0,0
152,0,197,126,130,76,78,100,7,4,3,0,0,0
147,0,205,95,166,128,240,84,7,4,1,0,0,0
112,22,181,110,228,123,262,141,9,4,2,0,0,1
120,0,252,120,150,106,151,96,9,1,2,0,0,0
27,0,193,102,118,104,135,124,9,3,0,0,0,0
171,0,231,135,188,74,206,124,12,1,1,0,0,0
101,33,200,108,188,122,205,90,15,4,0,0,0,1
32,26,266,109,232,107,212,98,16,4,1,0,0,1
3,36,118,117,221,125,103,89,11,6,2,0,0,1
151,0,175,106,144,87,160,88,11,5,0,0,0,0
60,0,125,99,248,62,211,79,11,3,3,0,0,0
43,0,241,101,129,121,264,104,5,3,1,0,0,0
42,0,241,134,116,114,152,91,10,4,0,0,0,0
84,0,217,99,236,68,118,120,9,4,1,0,0,0
65,0,195,110,181,109,178,105,8,4,0,0,0,0
75,0,222,78,327,111,208,104,8,9,1,1,1,0
116,0,189,90,189,118,205,83,13,2,1,0,0,0
107,0,123,100,158,82,256,82,9,5,0,0,0,0
189,38,256,98,150,120,123,87,11,3,3,0,0,1
123,0,159,94,241,119,202,120,6,1,1,0,0,0
110,0,100,90,233,93,204,57,11,8,3,0,0,0
63,32,30,113,187,113,230,101,8,7,1,0,0,1
176,0,223,76,214,131,154,80,10,2,3,0,0,0
108,0,187,101,199,126,216,107,12,8,1,0,0,0
13,21,315,105,208,71,260,123,12,3,3,0,0,1
71,0,277,104,131,121,126,101,8,2,1,0,0,0
88,0,189,111,197,101,234,111,14,3,2,0,0,0
137,0,147,119,192,91,172,105,10,4,1,0,0,0
92,29,155,110,188,104,254,118,8,4,3,0,0,1
96,0,97,98,105,118,220,105,11,9,1,0,0,0
156,0,178,94,178,97,169,77,7,3,1,0,0,0
63,0,149,104,273,75,206,72,9,4,0,0,0,0
37,0,206,89,186,88,307,86,8,11,0,0,0,0
98,0,216,86,190,114,187,79,11,9,0,0,0,0
121,0,103,110,129,82,167,113,10,3,0,0,0,0
94,0,139,95,159,92,128,129,7,3,0,0,0,0
99,0,191,110,163,102,243,114,14,3,1,0,0,0
163,23,160,104,189,64,229,118,10,7,1,0,0,1
161,0,221,95,193,82,194,113,6,4,3,0,0,0
99,0,62,81,231,64,168,121,8,5,1,0,0,0
108,0,215,78,195,119,194,65,3,5,1,0,0,0
84,42,165,97,223,118,260,72,7,7,3,0,0,1
83,32,94,111,154,98,200,109,10,6,2,0,1,1
139,0,203,81,152,99,197,76,9,3,2,0,0,0
69,0,195,70,216,108,259,119,12,4,3,0,0,0
129,0,143,114,297,98,212,86,11,8,4,0,0,0
158,0,222,101,203,128,210,106,6,2,2,0,0,0
168,22,175,70,211,105,174,81,7,5,2,0,0,1
115,0,249,95,242,104,151,121,15,6,1,1,1,0
57,30,234,130,195,116,268,94,11,4,2,0,1,1
67,0,210,116,219,86,179,83,7,6,1,0,0,0
127,0,182,124,169,110,184,116,9,3,1,0,0,0
78,0,190,88,194,89,256,109,11,5,2,0,0,0
100,38,177,88,163,108,242,72,7,2,0,0,0,1
113,0,215,96,193,127,105,115,13,3,1,0,0,0
78,0,137,109,237,49,206,136,14,11,3,0,0,0
129,36,192,103,177,83,216,118,16,5,1,0,0,1
57,0,149,100,200,110,231,101,11,3,2,0,0,0
82,0,143,116,170,99,287,95,7,5,1,0,0,0
64,0,224,111,190,101,221,110,9,2,1,0,0,0
86,39,261,122,214,101,154,101,12,5,2,0,0,1
151,26,196,98,175,111,221,124,13,5,0,0,0,1
94,0,271,105,202,105,221,51,11,3,3,1,0,0
90,0,207,121,292,104,226,103,8,1,2,0,0,0
48,0,300,94,133,103,197,94,7,5,2,0,0,0
85,37,229,123,132,90,211,76,9,8,2,0,0,1
93,20,187,110,169,94,175,127,12,4,1,0,1,1
169,0,57,98,199,78,274,103,6,6,3,0,1,0
68,0,162,86,155,86,189,87,11,9,5,1,0,0
91,0,145,89,175,102,223,151,16,3,2,1,1,0
68,0,159,123,240,93,210,76,11,3,1,0,0,0
101,0,190,72,208,103,203,111,8,8,1,0,0,0
66,0,34,133,278,61,129,120,11,3,0,0,0,0
116,17,193,112,240,131,248,98,11,3,5,0,0,1
158,0,202,126,163,86,195,84,10,6,1,0,0,0
78,0,191,122,241,88,203,86,9,5,1,0,0,0
119,26,161,97,250,110,142,92,6,8,1,0,0,1
120,0,150,85,119,128,232,123,6,2,1,0,0,0
155,0,184,102,196,117,226,122,7,1,1,0,0,0
106,0,220,120,270,95,121,113,8,5,1,0,0,0
87,0,167,119,198,119,133,88,11,6,1,0,1,0
146,32,154,80,185,91,148,107,8,4,3,0,0,1
101,29,121,116,186,100,241,75,10,6,0,0,0,1
22,23,182,94,164,59,128,102,12,4,3,0,0,1
90,0,109,88,137,108,159,121,11,5,2,0,0,0
41,0,209,105,121,105,253,104,9,4,1,0,0,0
69,0,167,76,242,92,101,103,11,4,2,0,0,0
112,0,115,108,243,111,184,78,13,5,1,0,0,0
108,30,276,99,220,113,177,95,9,6,2,0,0,1
136,21,179,88,181,97,320,120,9,4,2,0,0,1
128,0,187,84,270,95,206,68,10,5,1,0,0,0
27,0,201,128,227,100,145,91,8,3,2,0,0,0
33,35,186,124,261,69,317,103,15,5,0,0,0,1
120,31,153,83,219,96,237,76,11,4,0,0,0,1
113,0,187,97,208,118,158,101,8,6,2,0,0,0
122,0,230,132,243,99,182,57,11,2,0,1,1,0
148,26,244,150,118,138,236,91,15,4,2,0,0,1
74,0,230,93,223,78,157,101,9,2,3,0,0,0
106,0,187,104,250,117,144,81,11,3,1,0,0,0
179,0,170,54,191,108,214,107,13,4,1,0,0,0
149,28,126,97,166,102,145,77,8,3,5,1,1,1
77,0,189,112,207,95,214,91,9,7,0,0,0,0
127,0,176,110,167,100,182,138,7,2,1,1,1,0
80,0,161,99,198,81,228,116,10,4,1,0,0,0
106,0,169,107,197,71,202,79,10,4,1,0,0,0
61,20,254,133,161,96,251,91,10,4,0,0,0,1
135,24,127,54,215,105,234,84,5,4,2,0,1,1
167,0,219,100,242,90,168,101,10,4,2,0,1,0
107,0,273,104,183,68,153,67,11,9,2,0,1,0
112,0,161,138,200,114,134,134,10,4,1,0,1,0
35,27,241,87,142,101,288,68,9,4,1,0,0,1
103,0,62,124,170,66,280,78,9,4,3,0,1,0
107,22,281,83,143,130,239,128,11,9,1,0,0,1
69,0,228,70,263,80,142,60,10,5,3,0,0,0
85,0,209,82,194,94,200,85,11,3,0,0,0,0
24,0,265,86,208,102,182,105,11,6,2,1,0,0
90,0,214,97,117,117,133,78,11,2,2,0,0,0
137,0,110,79,223,111,169,64,10,3,3,0,0,0
92,45,281,88,198,103,94,76,7,3,0,0,1,1
38,0,137,86,286,76,167,77,14,3,2,0,0,0
69,33,271,98,253,102,165,85,8,2,1,1,1,1
45,0,112,108,218,120,240,106,9,3,2,0,0,0
73,0,187,118,239,90,167,108,15,2,1,0,0,0
92,0,197,84,269,105,158,105,10,4,1,0,0,0
113,32,180,89,129,124,166,124,8,2,1,0,0,1
68,0,148,126,219,125,198,121,14,7,1,1,1,0
135,22,197,113,259,95,134,135,14,5,2,0,0,1
100,26,153,115,137,146,213,104,15,5,1,0,0,1
96,27,261,96,220,101,179,97,11,2,1,0,0,1
108,0,246,102,202,134,180,95,9,5,1,0,0,0
84,0,191,88,318,119,247,79,6,4,0,0,0,0
134,0,208,86,253,89,291,86,12,3,1,0,0,0
72,0,253,73,219,78,210,89,9,4,0,0,0,0
83,0,202,87,201,111,101,82,6,4,0,0,0,0
137,0,174,120,156,98,136,121,10,5,0,0,0,0
56,30,127,89,172,116,194,111,12,3,1,0,0,1
61,16,143,76,242,58,147,95,11,3,0,0,1,1
171,17,186,94,240,138,200,64,5,3,1,0,0,1
123,0,194,118,242,114,146,108,12,4,1,0,0,0
58,0,234,89,106,131,178,122,9,6,0,0,0,0
156,0,123,96,103,80,189,82,13,4,1,0,0,0
166,0,173,103,276,83,190,113,15,5,0,0,0,0
75,41,130,115,203,110,171,68,12,4,1,0,0,1
75,0,314,102,169,86,285,100,5,3,2,1,0,0
83,0,227,78,207,115,211,100,12,5,1,0,0,0
153,0,185,127,208,73,206,124,15,3,1,0,0,0
150,0,146,133,202,95,234,103,13,3,1,0,0,0
92,16,184,99,76,134,185,96,12,3,2,0,0,1
134,0,178,110,153,64,236,105,11,4,1,0,0,0
77,24,149,74,123,72,174,84,10,6,1,0,0,1
147,0,209,104,132,78,149,123,11,3,2,0,0,0
74,0,172,105,211,99,182,105,11,6,1,0,0,0
138,0,169,82,217,147,184,77,9,9,1,0,1,0
143,0,119,117,287,136,223,100,12,4,0,0,0,0
64,0,194,147,173,87,268,114,5,2,2,0,0,0
120,0,198,56,230,73,119,81,9,3,2,0,0,0
121,0,167,94,93,121,241,115,13,1,3,1,1,0
88,0,202,86,216,93,239,99,11,2,2,0,0,0
87,0,322,106,204,93,186,128,9,4,2,1,0,0
100,0,216,107,215,84,138,127,10,3,0,0,0,0
104,0,76,116,115,74,226,94,9,3,3,0,0,0
27,0,72,75,208,117,65,71,9,3,1,0,0,0
81,31,210,100,225,97,168,120,9,4,0,0,0,1
107,28,201,79,304,128,225,133,11,8,1,0,0,1
88,17,219,78,222,94,188,92,16,5,1,0,0,1
111,0,99,112,270,136,225,94,9,6,3,0,0,0
77,0,239,114,150,115,160,81,10,2,5,0,0,0
67,0,120,58,235,88,95,130,11,11,2,0,1,0
102,0,224,81,129,112,167,109,15,6,1,0,0,0
146,19,176,88,162,66,215,98,14,6,1,0,0,1
96,0,180,92,190,114,295,125,10,4,1,1,0,0
70,31,125,101,196,102,252,75,10,4,1,0,0,1
149,0,237,79,192,107,207,111,9,9,0,0,0,0
129,0,198,91,264,106,111,101,9,2,2,0,0,0
166,0,274,110,52,109,246,119,10,5,0,0,0,0
136,0,199,89,211,96,72,84,11,4,3,1,1,0
149,0,217,91,273,74,226,99,9,3,3,0,0,0
70,0,134,96,235,90,260,113,7,6,3,0,0,0
66,0,256,135,180,106,187,135,6,7,2,0,0,0
104,0,183,133,120,98,215,112,12,2,1,0,0,0
160,0,176,90,196,115,263,95,9,4,1,0,0,0
129,37,205,94,165,103,185,81,11,8,1,0,0,1
93,0,267,114,223,74,262,90,11,3,3,1,0,0
169,0,179,111,175,130,228,92,9,6,2,0,0,0
58,0,149,145,196,105,209,108,14,3,1,0,0,0
75,38,163,132,146,113,345,115,13,3,3,0,0,1
155,0,165,108,183,103,80,108,8,4,3,0,0,0
52,0,209,114,171,82,154,119,9,9,4,0,0,0
119,27,220,128,268,133,146,80,11,3,0,0,0,1
86,0,141,72,154,95,210,91,8,5,1,0,0,0
42,0,196,89,241,123,143,105,4,7,0,0,0,0
127,0,180,114,209,118,249,105,7,4,2,0,1,0
123,0,105,150,251,90,258,93,14,5,0,0,0,0
98,0,271,119,190,102,284,118,11,6,4,1,0,0
149,43,206,79,174,122,241,80,10,3,1,0,0,1
160,0,166,109,236,117,307,77,9,1,1,0,0,0
103,0,204,107,135,102,208,106,10,3,5,0,0,0
132,15,154,128,245,106,148,90,9,4,1,0,0,1
137,0,127,107,323,75,143,127,7,2,1,0,0,0
129,0,267,78,204,85,111,146,5,4,1,0,1,0
122,33,270,96,220,110,169,104,11,8,4,0,0,1
32,0,171,82,185,102,203,64,10,7,1,0,0,0
86,0,124,82,202,120,289,119,6,8,3,0,0,0
130,0,162,113,290,111,114,140,7,3,1,0,0,0
73,0,254,85,143,80,153,102,15,7,2,0,0,0
66,26,254,108,243,135,190,95,5,3,2,0,0,1
103,31,107,124,188,104,196,98,8,3,0,0,0,1
128,0,158,75,264,91,270,77,7,7,1,0,0,0
104,0,182,113,239,85,229,104,5,4,2,0,0,0
124,0,178,72,233,134,179,91,12,2,0,0,0,0
87,0,110,91,158,115,207,131,6,5,1,0,0,0
109,27,166,85,221,92,197,97,12,4,1,1,0,1
167,0,244,91,60,105,176,110,10,3,2,0,1,0
97,0,120,96,169,101,194,63,11,3,4,1,0,0
106,0,165,118,210,101,187,93,8,3,2,0,0,0
125,0,126,113,155,131,206,112,14,7,2,0,0,0
108,35,215,106,200,107,195,107,15,7,0,0,0,1
125,0,140,132,209,126,264,77,8,2,1,0,0,0
89,32,209,113,249,104,224,92,8,7,1,0,0,1
72,29,139,114,138,91,221,88,5,6,0,0,1,1
23,0,321,107,251,115,141,158,11,3,2,1,0,0
73,0,214,90,196,78,157,112,5,8,0,0,0,0
61,0,260,123,210,127,234,70,9,3,1,1,0,0
161,0,191,113,70,87,204,107,13,4,4,1,0,0
73,0,213,95,188,104,136,89,13,3,0,0,0,0
118,24,118,83,109,72,245,73,16,2,1,0,0,1
127,25,82,95,163,109,264,104,5,6,0,0,0,1
42,32,163,80,177,123,190,106,8,5,0,0,0,1
118,0,267,145,316,121,208,91,14,11,5,1,0,0
45,0,159,91,120,86,163,93,10,3,2,0,0,0
50,24,214,129,289,55,312,130,10,4,1,0,0,1
179,0,287,123,288,114,266,112,10,4,0,1,0,0
152,0,101,122,141,87,198,124,7,3,2,0,0,0
105,0,102,74,281,125,228,113,13,5,2,0,0,0
72,0,109,97,115,96,295,84,8,6,0,0,0,0
52,0,215,67,217,108,342,130,5,2,1,0,0,0
125,0,203,110,128,97,190,113,11,4,1,0,0,0
143,0,110,113,169,59,166,94,9,2,1,0,0,0
1,0,144,107,112,66,218,79,13,3,1,0,0,0
60,0,135,134,205,85,204,103,7,4,1,0,0,0
43,0,84,134,80,103,196,79,10,2,1,0,0,0
143,0,209,127,106,80,179,90,14,6,0,0,0,0
81,24,130,117,196,61,139,123,11,5,0,0,0,1
205,24,175,139,155,98,180,64,7,5,2,0,0,1
24,0,241,104,145,112,214,105,6,5,1,0,0,0
74,0,136,106,228,105,265,114,9,4,0,0,0,0
77,0,67,68,195,86,236,137,12,2,1,0,0,0
74,0,200,87,309,105,152,118,10,2,1,0,0,0
74,0,125,103,207,96,207,143,14,4,1,1,1,0
200,0,128,87,133,105,177,123,11,2,1,0,0,0
86,0,226,88,223,107,255,92,13,3,4,0,0,0
91,37,162,107,233,115,277,94,9,4,0,0,0,1
76,0,224,121,147,97,183,74,6,2,2,0,0,0
130,0,120,127,189,52,270,107,14,2,1,0,0,0
56,0,91,90,179,115,300,89,11,8,2,0,0,0
117,0,168,137,241,107,204,106,15,4,0,0,0,0
63,0,153,81,287,115,230,85,6,5,2,0,0,0
126,0,226,88,140,114,208,110,6,2,0,0,0,0
132,0,191,107,206,127,272,88,12,2,1,0,0,0
81,28,167,147,190,105,193,103,9,6,4,1,0,1
122,0,180,88,145,77,233,120,11,6,2,0,0,0
46,0,257,67,261,91,204,107,13,5,2,1,0,0
150,28,174,75,169,80,201,130,11,4,1,0,0,1
99,0,159,83,155,121,255,114,8,3,1,0,0,0
87,0,237,124,222,87,173,81,11,3,1,0,0,0
108,0,103,129,242,103,170,89,7,3,1,0,0,0
101,0,153,89,234,89,196,77,11,2,4,0,0,0
53,0,205,86,160,95,149,142,10,2,3,0,0,0
132,39,175,93,187,94,225,118,8,3,2,0,0,1
158,0,155,123,224,112,221,116,8,8,2,0,0,0
114,34,154,109,221,142,208,103,10,5,0,0,0,1
77,23,209,73,183,63,205,111,7,3,2,0,0,1
91,23,232,97,186,88,190,128,12,3,3,0,0,1
58,0,165,100,115,87,193,118,12,5,2,0,0,0
97,0,217,81,320,51,150,110,4,3,0,0,0,0
107,0,212,95,150,88,219,111,7,2,3,0,0,0
142,30,154,75,165,97,270,83,10,5,1,0,0,1
9,31,193,130,202,98,191,102,13,2,1,0,0,1
73,0,175,130,248,105,122,85,12,4,0,0,0,0
48,22,152,63,258,131,263,109,15,5,2,1,0,1
43,0,230,147,186,121,128,100,9,3,0,0,0,0
122,33,174,103,248,105,164,116,13,3,1,1,0,1
93,0,190,68,262,64,130,92,8,4,0,0,0,0
85,0,176,122,224,123,219,50,11,1,1,0,0,0
59,0,160,95,251,65,273,97,5,5,3,0,0,0
87,0,228,90,163,99,154,90,11,3,1,0,0,0
137,0,144,90,181,100,128,93,12,2,0,0,0,0
129,0,334,118,192,104,191,83,10,6,0,1,0,0
104,0,130,77,131,117,264,63,13,6,0,0,0,0
93,21,134,105,162,128,186,90,11,2,4,1,0,1
63,0,278,102,266,114,224,118,13,4,4,1,0,0
161,0,105,70,214,122,223,126,7,5,0,0,0,0
50,0,188,94,203,104,151,124,11,8,3,0,0,0
103,24,111,85,239,102,268,81,6,4,1,0,0,1
92,0,212,105,224,118,221,105,9,4,1,0,0,0
77,0,142,112,306,111,196,82,9,1,1,0,0,0
159,15,113,102,145,146,195,137,11,9,1,0,0,1
110,27,267,103,263,74,178,106,8,2,1,1,1,1
138,0,171,117,115,128,224,115,17,4,3,0,0,0
178,0,275,150,187,62,147,126,13,3,1,0,0,0
38,31,197,118,249,70,298,104,3,2,0,0,0,1
50,35,192,97,135,101,216,101,7,2,2,0,0,1
45,26,91,104,150,119,63,103,7,5,1,0,0,1
70,0,126,99,141,106,255,96,9,2,0,0,0,0
147,33,251,107,234,110,213,87,10,6,3,0,0,1
94,0,190,108,152,95,144,97,7,5,1,0,0,0
179,0,116,101,201,99,181,103,11,5,0,0,0,0
116,0,217,91,216,95,148,76,11,3,2,0,0,0
59,0,179,80,232,99,175,105,14,3,0,0,0,0
165,0,207,109,164,94,54,91,7,3,0,0,0,0
133,0,277,138,228,117,117,103,12,4,2,1,0,0
140,0,125,84,167,121,260,94,8,4,1,0,0,0
93,32,138,91,167,72,238,115,6,3,2,0,0,1
52,38,169,88,225,97,172,86,8,3,0,0,0,1
64,27,201,101,143,89,150,127,12,3,1,0,0,1
12,0,216,117,116,126,220,110,9,4,2,0,1,0
48,0,190,92,317,85,133,113,8,4,2,0,0,0
181,0,143,91,195,58,223,95,6,7,1,0,0,0
168,42,97,57,203,98,173,124,11,2,2,0,0,1
155,0,181,111,167,92,168,122,11,3,3,0,0,0
105,0,246,83,256,101,169,151,3,4,0,0,0,0
11,0,143,130,289,50,194,100,9,6,2,0,0,0
182,0,104,111,198,120,258,91,8,5,2,0,0,0
104,0,156,93,193,54,222,94,13,5,1,0,0,0
102,0,114,125,81,126,304,101,12,4,0,0,0,0
122,0,232,96,205,120,213,91,11,2,0,0,0,0
41,0,143,117,152,108,194,110,8,3,1,0,0,0
132,0,176,132,244,80,176,120,9,4,2,0,0,0
76,0,263,148,230,69,170,101,11,5,1,1,0,0
13,0,146,74,148,92,216,96,11,3,1,0,0,0
115,33,145,72,194,157,242,138,14,3,2,0,0,1
154,0,166,99,154,97,189,89,7,5,0,0,0,0
100,0,142,87,195,88,122,117,7,8,2,0,0,0
146,0,133,65,262,93,214,128,11,3,1,0,1,0
148,11,252,129,284,88,262,99,12,1,1,0,0,1
67,28,95,94,291,73,159,114,10,2,2,0,0,1
161,0,194,106,249,105,254,129,12,1,1,1,1,0
116,0,201,82,231,95,226,130,16,5,0,0,0,0
99,42,216,125,232,104,215,100,9,4,2,1,0,1
87,0,146,108,171,102,167,66,5,9,1,0,0,0
87,0,234,85,140,91,204,93,9,5,1,0,0,0
70,0,198,111,213,115,171,105,10,6,2,0,0,0
131,0,94,80,215,101,179,108,13,9,2,0,0,0
119,0,190,74,215,113,161,111,10,1,2,0,0,0
119,32,142,77,208,126,171,102,12,2,3,0,0,1
87,0,134,80,165,71,173,102,10,5,0,0,1,0
112,0,111,92,114,143,146,79,14,3,5,1,0,0
75,0,122,89,211,104,261,91,10,2,2,0,0,0
150,0,189,77,220,105,238,117,9,5,4,0,0,0
161,38,240,112,201,102,206,112,16,6,0,0,0,1
91,24,93,112,183,128,240,133,9,3,0,0,1,1
124,0,158,104,211,77,179,104,10,8,3,0,0,0
94,0,243,109,147,88,94,99,7,4,4,0,1,0
217,0,176,115,158,128,306,107,9,3,4,0,0,0
158,0,220,129,242,108,233,75,6,5,0,0,0,0
102,0,144,87,266,128,217,59,7,7,0,0,0,0
85,0,212,107,228,103,163,116,7,3,0,0,0,0
79,0,147,72,165,102,243,107,8,9,1,0,0,0
139,25,96,112,178,70,182,84,12,10,2,0,0,1
